wave,la ola,hullám
breakfast,el desayuno,reggeli
morning,la mañana,reggel
abortion,el aborto,abortusz
narrow | tight,estrech@,szűk
greedy,deseos@,mohó
subject,el tema,téma
time,el tiempo,idő
early,tempran@,korai
magazine,la revista,folyóirat
timetable,el horario,órarend
intention,la intención,szándék
always,siempre,mindig
genuine,genuin@,eredeti
brain,el cerebro,agy
to drive,conducir,vezetni
to pass,adelantar,előzni
to shave,afeitarse,borotválkozni
driver,el chófer,sofőr
entertainment,el entretenemiento,szorakozás
to think,pensar,gondolni
thought,el pensamiento,gondolat
driving licence,el carnet de conducir,jogosítvány
acute,agud@,akut
down,abajo,alul
naked,desnud@,meztelen
discount,el descuento,árengedmény
to begin 1,comenzar,elkezdeni 1
to begin 2,empezar,elkezdeni 2
alcohol,el alcohol,alkohol
beginning,el principio,kezdet
appetizer,la tapa,előétel
under,debajo de,alatt
to sign,firmar,aláírni
signature,la firma,aláírás
district,el barrio,városnegyed
county,la comarca,megye
briefs,el calzoncillos,alsógatya
underwear,la ropa inferior,fehérnemű
profession,la profesión,végzettség
to shoot,tirar,lőni
pineapple,la piña,ananász
eel,la anguila,angolna
duck,el pato,kacsa
ask for,pedir,kérni
to earn,ganar,keresni (pénzt)
profit,el provecho,profit
give,dar,adni
forgive,perdonar,megbocsátani
lend,prestar,kölcsönadni
excuse,la excusa,kifogás
aperitif,el aperitivo,étvágygerjesztő
orange,la naranja,narancs
chemist's,la farmacia,patika
help,la ayuda,segítség
weekday,el dia hábil,munkanap
army,el ejército,katonaság
to guess,adivinar,kitalálni
value,el valor,érték
valuables,los objetos de valor,értéktárgyak
worthless,sin valor,értéktelen
gun,la arma,fegyver
station,la estación,állomás
platform,el andén,peron
attitude,la actitud,hozzáállás
lay,poner,tenni | fektetni
matter,el asunto,ügy
lawyer,el abogado,ügyvéd
expert,el perito,szakértő
step,el paso,lépés
to reside,habitar,lakni valahol
inhabitant,el habitante,lakos
flat,el apartamento,lakás
caravan | camper,la roulotte,lakókocsi
meal,la comida,étel
sunburnt,moren@,napbarnított
sunburnt,la puesta del sol,naplemente
sunrise,la salida del sol,napfelkelte
sunstroke,la insolación,napszúrás
sun,el sol,nap (égitest)
sunbath,el baño de sol,napfürdő
sunglasses,las gafas de sol,napszemüveg
suntan oil,el aceite solar,naptej
desert,el desierto,sivatag
car,el coche,kocsi
automatoc,automátic@,automatikus
tyre,el neumático,autógumi
