¿Cuánto cuesta?;How much does it cost?;Mennyibe kerül?
"La cuenta, por favor";"The bill, please";"A számlát, kérem"
"Una mesa para dos personas, por favor";"A table for two, please";"Egy asztalt két főre, kérem"
¿Qué recomienda?;What do you recommend?;Mit ajánl?
Soy alérgico/a a los frutos secos;I am allergic to nuts;Allergiás vagyok a diófélékre
Sin azúcar;Without sugar;Cukor nélkül
Con leche;With milk;Tejjel
¿Dónde puedo comprar agua?;Where can I buy water?;Hol tudok venni vizet?
¿Dónde puedo encontrar un supermercado?;Where can I find a supermarket?;Hol találok egy szupermarketet?
"Una cerveza, por favor";"A beer, please";"Egy sört, kérem"
"Una copa de vino, por favor";"A glass of wine, please";"Egy pohár bort, kérem"
¡Salud!;Cheers!;Egészségedre!
