niño,masculine,niños,fiú,boy
niña,feminine,niñas,lány,girl
hombre,masculine,hombres,férfi,man
mujer,feminine,mujeres,nő,woman
libro,masculine,libros,könyv,book
casa,feminine,casas,ház,house
perro,masculine,perros,kutya,dog
gato,masculine,gatos,macska,cat
mesa,feminine,mesas,asztal,table
silla,feminine,sillas,szék,chair
coche,masculine,coches,autó,car
ciudad,feminine,ciudades,város,city
árbol,masculine,árboles,fa,tree
flor,feminine,flores,virág,flower
sol,masculine,soles,nap,sun
luna,feminine,lunas,hold,moon
agua,feminine,aguas,víz,water
fuego,masculine,fuegos,tűz,fire
tierra,feminine,tierras,föld,earth
aire,masculine,aires,levegő,air
reloj,masculine,relojes,óra,clock
ventana,feminine,ventanas,ablak,window
puerta,feminine,puertas,ajtó,door
calle,feminine,calles,utca,street
puente,masculine,puentes,híd,bridge
montaña,feminine,montañas,hegy,mountain
río,masculine,ríos,folyó,river
mar,masculine,mares,tenger,sea
lago,masculine,lagos,tó,lake
bosque,masculine,bosques,erdő,forest
desierto,masculine,desiertos,sivatag,desert
isla,feminine,islas,sziget,island
idioma,masculine,idiomas,nyelv,language
palabra,feminine,palabras,szó,word
idea,feminine,ideas,ötlet,idea
mente,feminine,mentes,elme,mind
corazón,masculine,corazones,szív,heart
cabeza,feminine,cabezas,fej,head
mano,feminine,manos,kéz,hand
pie,masculine,pies,láb,foot
ojo,masculine,ojos,szem,eye
nariz,feminine,narices,orr,nose
boca,feminine,bocas,száj,mouth
oreja,feminine,orejas,fül,ear
cabello,masculine,cabellos,haj,hair
piel,feminine,pieles,bőr,skin
sangre,feminine,sangres,vér,blood
cuaderno,masculine,cuadernos,füzet,notebook
lápiz,masculine,lápices,ceruza,pencil
papel,masculine,papeles,papír,paper
pluma,feminine,plumas,toll,pen
ordenador,masculine,ordenadores,számítógép,computer
teléfono,masculine,teléfonos,telefon,telephone
radio,feminine,radios,rádió,radio
televisor,masculine,televisores,televízió,television
película,feminine,películas,film,movie
música,feminine,músicas,zene,music
canción,feminine,canciones,dal,song
baile,masculine,bailes,tánc,dance
fiesta,feminine,fiestas,buli,party
trabajo,masculine,trabajos,munka,work
escuela,feminine,escuelas,iskola,school
universidad,feminine,universidades,egyetem,university
maestro,masculine,maestros,tanár,teacher
maestra,feminine,maestras,tanárnő,teacher
estudiante,masculine,estudiantes,diák,student
biblioteca,feminine,bibliotecas,könyvtár,library
hospital,masculine,hospitales,kórház,hospital
farmacia,feminine,farmacias,gyógyszertár,pharmacy
restaurante,masculine,restaurantes,étterem,restaurant
mercado,masculine,mercados,piac,market
tienda,feminine,tiendas,bolt,shop
parque,masculine,parques,park,park
jardín,masculine,jardines,kert,garden
playa,feminine,playas,strand,beach
valle,masculine,valles,völgy,valley
campo,masculine,campos,mező,field
carretera,feminine,carreteras,autóút,highway
avión,masculine,aviones,repülő,airplane
tren,masculine,trenes,vonat,train
barco,masculine,barcos,hajó,boat
bicicleta,feminine,bicicletas,kerékpár,bicycle
camino,masculine,caminos,út,road
maleta,feminine,maletas,bőrönd,suitcase
mochila,feminine,mochilas,hátizsák,backpack
sombrero,masculine,sombreros,kalap,hat
camisa,feminine,camisas,ing,shirt
pantalón,masculine,pantalones,nadrág,pants
zapato,masculine,zapatos,cipő,shoe
chaqueta,feminine,chaquetas,dzseki,jacket
abrigo,masculine,abrigos,kabát,coat
vestido,masculine,vestidos,ruha,dress
falda,feminine,faldas,szoknya,skirt
anillo,masculine,anillos,gyűrű,ring
pulsera,feminine,pulseras,karkötő,bracelet
collar,masculine,collares,nyaklánc,necklace
sombrilla,feminine,sombrillas,esernyő,umbrella
cuchillo,masculine,cuchillos,kés,knife
tenedor,masculine,tenedores,villa,fork
cuchara,feminine,cucharas,kanál,spoon
plato,masculine,platos,tányér,plate
vaso,masculine,vasos,pohár,glass
taza,feminine,tazas,csésze,cup
botella,feminine,botellas,palack,bottle
cuchillo,masculine,cuchillos,kés,knife
sartén,feminine,sartenes,serpenyő,frying pan
olla,feminine,ollas,edény,pot
horno,masculine,hornos,sütő,oven
nevera,feminine,neveras,hűtő,fridge
congelador,masculine,congeladores,fagyasztó,freezer
microondas,masculine,microondas,mikrohullámú,microwave
lavadora,feminine,lavadoras,mosógép,washing machine
secadora,feminine,secadoras,szárítógép,dryer
plancha,feminine,planchas,vasaló,iron
espejo,masculine,espejos,tükör,mirror
sábana,feminine,sábanas,lepedő,sheet
almohada,feminine,almohadas,párna,pillow
colchón,masculine,colchones,matrac,mattress
manta,feminine,mantas,takaró,blanket
toalla,feminine,toallas,törölköző,towel
ducha,feminine,duchas,zuhany,shower
bañera,feminine,bañeras,kád,bath
jabón,masculine,jabones,szappan,soap
champú,masculine,champús,sampon,shampoo
cepillo,masculine,cepillos,kefe,brush
peine,masculine,peines,fésű,comb
esmalte,feminine,esmales,körömlakk,nail polish
maquillaje,masculine,maquillajes,smink,makeup
perfume,masculine,perfumes,parfüm,perfume
desodorante,masculine,desodorantes,dezodor,deodorant
crema,feminine,cremas,krém,cream
medicina,feminine,medicinas,gyógyszer,medicine
vitamina,feminine,vitaminas,vitamin,vitamin
pastilla,feminine,pastillas,tabletta,pill
inyección,feminine,inyecciones,injekció,injection
termómetro,masculine,termómetros,hőmérő,thermometer
hospital,masculine,hospitales,kórház,hospital
ambulancia,feminine,ambulancias,mentő,ambulance
doctor,masculine,doctores,orvos,doctor
enfermera,feminine,enfermeras,ápolónő,nurse
cirugía,feminine,cirugías,műtét,surgery
dentista,masculine,dentistas,fogorvos,dentist
farmacia,feminine,farmacias,gyógyszertár,pharmacy
receta,feminine,recetas,felírás,prescription
síntoma,masculine,síntomas,tünet,symptom
enfermedad,feminine,enfermedades,betegség,illness
dolor,masculine,dolores,fájdalom,pain
fiebre,feminine,fiebres,láz,fever
tos,feminine,toses,köhögés,cough
resfriado,masculine,resfriados,megfázás,cold
gripe,feminine,gripes,influenza,flu
vacuna,feminine,vacunas,oltás,vaccine
seguro,masculine,seguros,biztosítás,insurance
accidente,masculine,accidentes,baleset,accident
emergencia,feminine,emergencias,vészhelyzet,emergency
ambulancia,feminine,ambulancias,mentő,ambulance
coche,masculine,coches,autó,car
camión,masculine,camiones,teherautó,truck
motocicleta,feminine,motocicletas,motorkerékpár,motorcycle
bicicleta,feminine,bicicletas,kerékpár,bicycle
avión,masculine,aviones,repülőgép,airplane
tren,masculine,trenes,vonat,train
barco,masculine,barcos,hajó,boat
submarino,masculine,submarinos,tengeralattjáró,submarine
helicóptero,masculine,helicópteros,helikopter,helicopter
globo,masculine,globos,hőlégballon,hot air balloon
metro,masculine,metros,metró,subway
taxi,masculine,taxis,taxi,taxi
autobús,masculine,autobuses,busz,bus
carretera,feminine,carreteras,út,road
calle,feminine,calles,utca,street
puente,masculine,puentes,híd,bridge
túnel,masculine,túneles,alagút,tunnel
semáforo,masculine,semáforos,jelzőlámpa,traffic light
gasolina,feminine,gasolinas,benzin,gasoline
mecánico,masculine,mecánicos,szerelő,mechanic
garaje,masculine,garajes,garázs,garage
conductor,masculine,conductores,sofőr,driver
pasajero,masculine,pasajeros,utas,passenger
maleta,feminine,maletas,bőrönd,suitcase
billete,masculine,billetes,jegy,ticket
pasaporte,masculine,pasaportes,útlevél,passport
aduana,feminine,aduanas,vám,customs
aeropuerto,masculine,aeropuertos,repülőtér,airport
estación,feminine,estaciones,pályaudvar,station
horario,masculine,horarios,menetrend,schedule
mapa,masculine,mapas,térkép,map
brújula,feminine,brújulas,iránytű,compass
equipaje,masculine,equipajes,poggyász,luggage
mochila,feminine,mochilas,hátizsák,backpack
hoteles,masculine,hoteles,szálloda,hotel
albergue,masculine,albergues,menedék,shelter
camping,masculine,campings,kemping,camping
reserva,feminine,reservas,foglalás,reservation
llave,feminine,llaves,kulcs,key
recepción,feminine,recepciones,recepció,reception
habitación,feminine,habitaciones,szoba,room
cama,feminine,camas,ágy,bed
almohada,feminine,almohadas,párna,pillow
manta,feminine,mantas,takaró,blanket
sábana,feminine,sábanas,lepedő,sheet
toalla,feminine,toallas,törölköző,towel
baño,masculine,baños,fürdő,bathroom
ducha,feminine,duchas,zuhany,shower
espejo,masculine,espejos,tükör,mirror
armario,masculine,armarios,szekrény,closet
ventana,feminine,ventanas,ablak,window
puerta,feminine,puertas,ajtó,door
suelo,masculine,suelos,padló,floor
techo,masculine,techos,plafon,ceiling
pared,feminine,paredes,fal,wall
escalera,feminine,escaleras,lépcső,stair
ascensor,masculine,ascensores,felvonó,elevator
pasillo,masculine,pasillos,folyosó,hallway
entrada,feminine,entradas,bejárat,entrance
salida,feminine,salidas,kijárat,exit
jardín,masculine,jardines,kert,garden
patio,masculine,patios,udvar,courtyard
sótano,masculine,sótanos,pince,basement
