Hay un libro en el escritorio.;There is a book on the desk.;Van egy könyv az íróasztalon.
Hay dos reglas en mi escritorio.;There are two rulers in my desk.;Két vonalzó van az íróasztalomban.
Hay un mapa en la pared.;There is a map on the wall.;Van egy térkép a falon.
Hay un maestro en el aula.;There is a teacher in the classroom.;Van egy tanár az osztályteremben.
No hay una pluma en mi escritorio.;There isn’t a pen on my desk.;Nincs toll az íróasztalomon.
No hay un cuaderno para el maestro.;There isn’t a notebook for the teacher.;Nincs füzet a tanár számára.
No hay luces en el aula.;There aren’t lights in the classroom.;Nincs világítás az osztályteremben.
¿Hay tiza para la pizarra?;Is there chalk for the chalkboard?;Van kréta a táblához?
¿Hay un reloj para la pared?;Is there a clock for the wall?;Van óra a falra?
¿Hay una tarea para los estudiantes?;Is there an assignment for the students?;Van házi feladat a diákok számára?
Hay tres mapas para los maestros.;There are three maps for the teachers.;Három térkép van a tanárok számára.
Hay una mochila en el escritorio.;There is a backpack on the desk.;Van egy hátizsák az íróasztalon.
