Tengo un oso;I have a bear;Van egy medvém
No tengo un elefante;I don’t have an elephant;Nincs elefántom
Tengo dos patos;I have two ducks;Van két kacsám
No tengo tres gatos;I don’t have three cats;Nincs három macskám
Quiero un perro;I want a dog;Szeretnék egy kutyát
No quiero un ratón;I don’t want a mouse;Nem szeretnék egy egeret
Quiero algunos gatos;I want some cats;Szeretnék néhány macskát
No quiero una rata;I don’t want a rat;Nem szeretnék egy patkányt
Tengo algunos monos;I have some monkeys;Van néhány majmom
Quiero algunos pavos;I want some turkeys;Szeretnék néhány pulykát
Tengo el cordero;I have the lamb;Nálam van a bárány
No tengo el león;I don’t have the lion;Nincs nálam az oroszlán
Quiero el tigre;I want the tiger;Szeretném a tigrist
No quiero el cerdo;I don’t want the pig;Nem szeretném a disznót
Quiero un conejo;I want a rabbit;Szeretnék egy nyulat
