abierto,open,nyitott
abundante,abundant,bőséges
aburrido,boring,unalmas
activo,active,aktív
afligido,afflicted,szenvedő
agradable,agreeable,kellemes
agradecido,grateful,hálás
alegre,joyous,vidám
altivo,haughty,arrogáns
alto,tall/high,magas
alumbrado,lit(up),megvilágított
amable,friendly,barátságos
amorfo,amorphous,amorf
analógico,analog,analóg
anciano,elderly,idős
angélico,angelic,angyali
angosto,narrow,keskeny
anterior,previous,előző
antiguo,antique,antik
antipático,mean/not nice,ellenszenves
antiséptico,antiseptic,antiszeptikus
aparte,apart,elkülönített
apenas,barely,alig
apestoso,stinky,bűzös
aplicable,applicable,alkalmazható
apreciativo,appreciative,értékelő
apropiado,appropriate,megfelelő
apto,apt,alkalmas
árido,arid,száraz
astuto,artful,ravasz
asombroso,astonishing,lenyűgöző
aterrador,apalling,borzasztó
atlético,athletic,atlétikus
atrevido,bold,vakmerő
ausente,absent,hiányzó
azulado,bluish,kékes
bajo,short (height),alacsony
barato,cheap,olcsó
bárbaro,barbarous,barbár
bellísimo,very beautiful,káprázatos
bello,beautiful,szép
bendito,blesse,dáldott
bienvenido,welcome,szívesen látott
bilingüe,bilingual,kétnyelvű
bonito,pretty,csinos
borroso,blurry,elmosódott
boyante,buoyant,lendületes
brumoso,foggy,ködös
bruto,brutal,brutális
bueno,good,jó
caliente,hot,forró
calloso,callous,érzéketlen
carnal,carnal,testi
cansado,tired,fáradt
caprichoso,quirky,szeszélyes
carbólico,carbolic,karbolikus
cardíaco,cardiac,szívbeli
cardinal,cardinal,alapvető
carísimo,very expensive,nagyon drága
caro,expensive,drága
centenario,centennial,centenárius
central,central,központi
cerámico,ceramic,kerámiás
ceremonial,ceremonial,ceremoniális
ceremonioso,ceremonious,szertartásos
cerrado,closed,zárt
cíclico,cyclical,ciklikus
cívico,civic,polgári
civilizado,civilized,civilizált
claro,clear,világos
clásico,classic,klasszikus
combustible,combustible,égethető
cómico,comical,komikus
cómodo,comfortable,kényelmes
confundido,confused,összezavarodott
conocido,known,ismert
contento,content,elégedett
cortés,courteous,udvarias
corto,short (length),rövid
correcto,correct,helyes
cuidadoso,careful,óvatos
chapado,plated,bevonatos
chango,playful,játékos
charlador,talkative,beszédes
chico,small,kicsi
chiflado,loco,őrült
chiquito,tiny,pici
chismoso,gossipy,pletykás
chistoso,funny,vicces
chocante,offensive,sokkható
chulo,cute,aranyos
crespo,curly,göndör
débil,weak,gyenge
decente,decent,tisztességes
delgado,thin,vékony
delicioso,delicious,finom
desconocido,unknown,ismeretlen
descortés,discourteous,udvariatlan
descubierto,uncovered,feltárt
despreciable,despicable,megvetendő
destituido,destitute,elvetett
destructible,destructible,rombolható
desvanecido,dissipated,elhalványult
diestro,clever,ügyes
difícil,difficult,nehéz
digestible,digestible,emészthető
digestivo,digestive,emésztő
digital,digital,digitális
digno,dignified,méltóságteljes
divertido,entertaining,szórakoztató
divino,divine,isteni
dócil,docile,engedékeny
dogmático,dogmatic,dogmatikus
dominante,dominant,uralkodó
dulce,sweet,édes
dúctil,ductile,formálható
duro,hard,kemény
efímero,ephemeral,múló
efusivo,effusive,lelkesen kifejező
egotista,egotistical,önző
ejecutivo,executive,vezető
ejemplar,exemplary,példamutató
elegante,elegant,elegáns
elemental,elementary,alapvető
elevado,elevated,emelkedett
elíptico,elliptic,elliptikus
elocuente,eloquent,kifejező
elusivo,elusive,megfoghatatlan
embarazada,pregnant,terhes
embarazoso,troublesome,kellemetlen
emocionante,exciting,izgalmas
emotivo,emotive,érzelmes
encallecido,calloused,megkeményedett
encantado,enchanted,elbűvölt
encerado,waxed,viaszosított
encerrado,caged/jailed,bezárt
endémico,endemic,endémiás
enérgico,energetic,energikus
enfermo,sick,beteg
enorme,enormous,óriási
envidiable,enviable,irigykedhető
envidioso,envious,irigy
errado,wrong,téves
escamoso,scaly,pikkelyes
escaso,scarce,ritka
escéptico,skeptic,szkeptikus
escrito,written,írott
espantado,scared,ijedt
espantoso,scary,rettentő
especial,special,különleges
espeso,spicy,csípős
estupendo,stupendous,pompás
eventual,eventual,esetleges
evidente,evident,nyilvánvaló
excelente,excellent,kiváló
experto,expert,szakértő
exponencial,exponential,exponenciális
exquisito,exquisite,elragadó
extátcio,ecstatic,ekstatikus
extensivo,extensive,kiterjedt
extra,extra,extra
extranjero,foreign,idegen
extremo,extreme,szélsőséges
fabuloso,fabulous,csodálatos
falso,false,hamis
famoso,famous,híres
familiar,familiar,ismerős
fanático,fanatic,fanatikus
fantástico,fantastic,fantasztikus
fastidioso,fastidious,bosszantó
fasto,auspicious,fényűző
fatal,fatal,végzetes
favorito,favorite,kedvenc
fecho,executed (law),végrehajtott
federal,federal,szövetségi
femenino,feminine,nőnemű
fenomenal,phenomenal,fenomenális
feliz,happy,boldog
feo,ugly,csúnya
fértil,fertile,termékeny
ferveroso,fervent,heves
férreo,iron,vasos
feudal,feudal,feudális
fiel,loyal,hűséges
figurado,figurative,átvitt értelemben
fílmico,film,filmes
financiero,financial,pénzügyi
flagrante,flagrant,nyilvánvaló
flexible,flexible,rugalmas
flojo,loose,laza
folklórico,folkloric,népi
fónico,phonic,fónikus
formidable,formidable,figyelemre méltó
franco,frank,őszinte
frío,cold,hideg
frito,fried,sült
frívolo,frivolous,felületes
fuerte,strong,erős
fundido,melted,olvadott
gallardo,gallant,lovagi
gastado,worn-out,elhasznált
gelatinoso,gelatinous,zselészerű
genérico,generic,általános
generoso,generous,nagylelkű
genético,genetic,genetikai
genio,genius,zseni
gentil,gentle,udvarias
genuino,genuine,hiteles
geológico,geological,geológiai
geriátrico,geriatric,geriátriai
glorioso,glorious,dicsőséges
glotón,gluttonous,falánk
gordo,fat,kövér
gradado,stepped,lépcsős
gran,grand,nagyszerű
grande,big,nagy
grandote,very big,óriási
granoso,grainy,zúzott
grasoso,greasy,zsíros
grave,serious,komoly
grosero,rude,durva
guapo,handsome,jóképű
hábil,skilled,ügyes
hablado,spoken,beszélt
halagüeño,flattering,dicsérő
hambriento,hungry,éhes
hediondo,stinky,bűzös
helado,frozen,fagyott
hermético,airtight,levegőtől zárt
hermoso,beautiful,gyönyörű
hilarante,hilarious,vicces
histórico,historical,történelmi
honesto,honest,tisztességes
horrible,horrible,borzalmas
horrífico,horrific,szörnyű
huesudo,bony,csontos
humano,human,emberi
húmedo,humid,nedves
ignorante,ignorant,tudatlan
ilegal,illegal,illegális
ilegible,illegible,olvasatlan
ilógico,illogical,logikátlan
iluminado,illuminated,megvilágított
ilustrado,illustrated,illusztrált
imaginario,imaginary,képzeletbeli
impaciente,impatient,türelmetlen
impar,uneven/odd,páratlan
impenetrable,impenetrable,átjárhatatlan
imperdonable,inexcusable,megbocsáthatatlan
imparcial,impartial,tárgyilagos
importante,important,fontos
improviso,unexpected,váratlan
imprudente,imprudent,meggondolatlan
inalámbrico,wireless,vezeték nélküli
inatento,unattentive,figyelmetlen
incalculable,incalculable,megszámlálhatatlan
incoherente,incoherent,össze nem illő
incomestible,inedible,ehetetlen
incómodo,uncomfortable,kényelmetlen
incomparable,incomparable,példátlan
incompatible,incompatible,összeegyeztethetetlen
incompetente,incompetant,alkalmatlan
incompleto,incomplete,hiányos
inconveniente,inconvenient,kényelmetlen
incorrecto,incorrect,hibás
incorregible,incorrigible,javíthatatlan
incorruptible,incorruptible,sérthetetlen
incrédulo,incredulous,hitetlen
indebido,improper,nem megfelelő
indefinido,undefined,meghatározatlan
indecente,indecent,illetlen
indígena,native,őslakos
indigno,unworthy,méltatlan
indivisible,indivisible,oszthatatlan
inédito,unpublished,kiadatlan
infantil,childish,gyermeteg
infeccioso,infectious,fertőző
infiel,faithless,hűtlen
injusto,unjust,igazságtalan
insensato,insane,ostoba
inteligente,intelligent,intelligens
interesante,interesting,érdekes
inquieto,active (hyper),nyugtalan
invisible,invisible,láthatatlan
irritable,irritable,ingerlékeny
jabonoso,soapy,szappanos
jactancioso,boastful,dicsekvő
joven,young,fiatal
jovial,jovial,vidám
jubilado,retired,nyugdíjas
judicial,judicial,bírósági
juguetón,playful,játszós
juicioso,wise,ésszerű
juntos,together,együtt
jurado,sworn,esküdött
justificable,justifiable,igazolható
justificante,justifying,indokoló
justo,just,igazságos
juvenil,youthful,fiatalos
labrado,wrought,kovácsolt
lacio,smooth,sima
ladino,wise (cunning),huncut
lamentable,lamentable,szánalmas
largo,long,hosszú
larguísimo,very long,nagyon hosszú
larval,larval,lárvaszerű
latoso,bothersome,zaklató
lavable,washable,mosható
lejano,far away,messze
lento,slow,lassú
libre,free,szabad
libre de cuidado,carefree,gondtalan
limpio,clean,tiszta
liso,smooth,sima
listo,smart/ready,okos
liviano,light,könnyű
lívido,livid,dühös
loco,crazy,őrült
lodoso,dirty (muddy),mocskos
lógico,logical,logikus
lúcido,lucid,tisztán gondolkodó
luminoso,luminous,fényes
lunático,lunatic,bolond
llamativo,showy,feltűnő
llameante,flaming,lobogó
llano,flat ground,sík
lleno,full,tele
llorón,crying,síró
lloroso,tearful,könnyezős
lluvioso,rainy,esős
maduro,ripe,érett
magnánimo,magnanimous,nagylelkű
magnético,magnetic,mágneses
magnífico,magnificent,csodálatos
majestuoso,majestic,fenséges
maligno,evil,gonosz
malo,bad,rossz
malsano,unhealthy,egészségtelen
malvado,wicked,rosszindulatú
mandón,bossy,parancsoló
manejable,manageable,kezelhető
manuscrito,hand written,kézzel írt
marchito,withered,elnyúlt
mareado,seasick,hányingeres
marino,marine,tengeri
matoso,bushy,sűrű bozótos
mayor,older,idősebb
mejor,better,jobb
menor,younger,fiatalabb
mímico,mimic,imitatív
mínimo,minimal,minimális
mismo,same,ugyanaz
mojado,wet,nedves
moreno,dark-haired,sötét hajú
mucho,many,sok
mudable,changeable,változó
muerto,dead,halott
musical,musical,zenés
nebuloso,hazy,ködös
necesario,necessary,szükséges
novato,newbie,kezdő
nublado,cloudy,felhős
nuevo,new,új
ocupado,busy,elfoglalt
optimista,optimist(ic),optimista
paciente,patient,türelmes
pagadero,payable,fizetendő
pagado,paid,kifizetett
parado,standing(up),álló
paralelo,parallel,párhuzamos
parásito,parasitic,parazit
parecido,alike,hasonló
parejo,even/smooth,egyenletes
particular,particular,különleges
pasado,by gone,elmúlt
pasajero,fleeting,múló
pastoral,pastoral,vidéki
paternal,fatherly,apai
patológico,pathological,patológiás
patriótico,patriotic,hazafias
pecoso,freckled,arcos
pedagógico,pedagogic,oktatási
pedestre,pedestrian,gyalogos
pegajoso,sticky,ragadós
pelado,peeled,meghámozott
peligroso,dangerous,veszélyes
pelirrojo,red-haired,vörös hajú
peludo,hairy,szőrös
penado,afflicted,bánatos
pendiente,pending,függőben lévő
penoso,shameful,szánalmas
pensativo,pensive,elmélkedő
peñascoso,rocky,sziklás
pequeño,small,kis
percudido,grimy,piszkos
perecedero,passing,romlandó
perezoso,lazy,lusta
perfecto,perfect,tökéletes
perjudicial,harmful,káros
permanente,permanent,állandó
persuasivo,persuasive,meggyőző
pesado,heavy,nehéz
pésimo,very bad,borzalmas
piadoso,pious,erkölcsös
picante,spicy,csípős
pintoresco,picturesque,festői
plácido,placid,nyugodt
plano,flat/plane,lapos
plumoso,feathery,tollaszerű
pobre,poor,szegény
pocos,few,kevés
podrido,rotten,rothadó
poético,poetic,költői
policíaco,police related,rendőrségi
pomposo,pompous,felfújt
popular,popular,népszerű
precavido,cautious,óvatos
preferido,preferred,kedvelt
preocupado,worried,aggódó
preparado,prepared,felkészült
presente,present,jelen
primero,first,első
privado,private,magán
privilegiado,privileged,kiváltságos
profético,prophetic,prófétai
puro,pure,tiszta
quebrado,broken,tört
quemado,burnt,égetett
querido,dear,kedves
quieto,quiet/still,csendes
quincenal,bimonthly,félhavonta
rabioso,rabid,dühös
radial,radial,radiális
rancio,rancid,elavult
rápido,rapid,gyors
razonable,reasonable,ésszerű
rebelde,rebellious,lázadó
rebosante,overflowing,telis-tele
recargable,rechargeable,újratölthető
receloso,distrustful,gyanakvó
receptivo,receptive,fogékony
reciclable,recyclable,újrahasznosítható
reciente,recent,friss
recojido,secluded,elzárt
reconocido,recognized,elismertek
recurrente,recurring,ismétlődő
redundante,redundant,felesleges
reemplazable,replaceable,cserélhető
refinado,refined,finomított
repugnante,repugnant,undorító
resonante,resonant,rezonáns
rico,rich,gazdag
ridículo,ridiculous,nevetséges
robusto,robust,masszív
romántico,romantic,romantikus
ronco,hoarse,rekedt
roñoso,mangy,kóros
rubio,blond,szőke
sabroso,savory,ízletes
sagaz,canny,éles eszű
sangriento,bloody,vérző
santificado,sanctified,szentelt
seco,dry,száraz
seguro,safe,biztonságos
selecto,select,válogatott
serio,serious,komoly
simpático,nice,kedves
sin aliento,breathless,lihegő
sólido,solid,szilárd
solo,alone,egyedül
sólo,only,csak
suave,soft,puha
sucio,dirty,piszkos
tacaño,stingy,szűkmarkú
todo,all,minden
tonto,foolish,ostoba
torcido,twisted,csavarodott
transparente,transparent,átlátszó
triste,sad,szomorú
umbroso,shady,árnyékos
unánime,unanimous,egyetértő
único,unique/only,egyedi
ventoso,windy,szeles
verdadero,true,igaz
valiente,valiant,bátor
vacío,empty,üres
varios,varied,különböző
viejo,old,öreg
vivo,alive,élő
